module,caste.bias
1,Queen-biased
2,Queen-biased
3,Worker-biased
4,Queen-biased
5,Queen-biased
6,Queen-biased
7,Worker-biased
8,Worker-biased
9,Worker-biased
10,Worker-biased
11,Unbiased
12,Worker-biased
13,Queen-biased
14,Unbiased
15,Queen-biased
16,Queen-biased
17,Worker-biased
18,Queen-biased
19,Unbiased
20,Queen-biased
21,Queen-biased
22,Queen-biased
23,Queen-biased
24,Worker-biased
25,Worker-biased
26,Worker-biased
27,Queen-biased
28,Queen-biased
29,Queen-biased
30,Queen-biased
31,Queen-biased
32,Worker-biased
33,Worker-biased
34,Queen-biased
35,Unbiased
36,Worker-biased
