gene,NCBI_GeneID,NCBI_TranscriptID,CG_OE,GC_OE,Gene_body_methylation
GB42422,LOC406075,NM_001010975.1,0.664874244,1.173307489,0.22508849
GB47934,LOC406065,NM_001011562.1,1.28550149,0.973864765,0.00481552
GB53755,LOC406066,NM_001011563.1,0.893174756,1.097860638,0.10310541
GB55214,LOC406067,NM_001011564.2,1.054054054,0.817429675,0.00767212
GB52910,LOC406068,NM_001011565.1,1.265415795,0.952074741,0.00288544
GB45427,LOC100576395,NM_001011566.1,1.025599824,0.893264363,0.03904449
GB17921,LOC406070,NM_001011567.1,1.369538777,0.884994356,0.00345604
GB47876,LOC406072,NM_001011568.1,0.964872784,0.979716981,0.00276681
GB46031,LOC406076,NM_001011570.1,0.666921314,1.185637892,0.1030864
GB51292,LOC406077,NM_001011571.1,1.106608988,1.08505167,0.0033252
GB50226,LOC406078,NM_001011572.1,1.252720396,1.051963922,0.00252636
GB46886,LOC406079,NM_001011573.1,0.87005178,1.103936668,0.0052186
GB44549,LOC406081,NM_001011574.1,1.159609034,0.887521998,0.00543715
GB40923,LOC406082,NM_001011575.1,0.921405751,1.013546326,0.00521137
GB49248,LOC406083,NM_001011576.1,1.439492216,0.730819125,0.0042432
GB44031,LOC406086,NM_001011577.1,0.826357662,1.165754558,0.08177002
GB49544,LOC406088,NM_001011578.1,1.145844101,0.785223115,0.00262573
GB55205,LOC406090,NM_001011579.1,1.136047666,0.889904005,0.00262582
GB55212,LOC406091,NM_001011580.1,1.077125804,1.037232256,0.11906011
GB49908,LOC406092,NM_001011581.1,1.186861314,0.974921794,0.00358378
GB53576,LOC406093,NM_001011582.1,1.415909091,1.618181818,0.00302879
GB52324,LOC406094,NM_001011583.2,1.058333333,1.108730159,0.0011244
GB48510,LOC406095,NM_001011584.1,0.916883219,1.264666509,0.00248168
GB50043,LOC406096,NM_001011585.1,1.008354586,0.936329259,0.03865017
GB42024,LOC406098,NM_001011586.1,0.641159845,1.333612478,0.44669877
GB47227,LOC406099,NM_001011587.1,0.96875,1.056818182,0.29595191
GB53367,LOC406100,NM_001011588.1,2.069829684,0.924817518,0.00316123
GB53372,LOC406101,NM_001011589.1,1.615185505,1.480586713,0.00349849
GB55593,LOC406102,NM_001011590.1,1.333891058,1.227179773,0.0031364
GB53369,LOC406103,NM_001011591.1,1.671755725,1.040203562,0.00580627
GB40708,LOC406108,NM_001011592.1,1.457775795,1.615373179,0.00268301
GB53368,LOC406109,NM_001011593.1,1.316767274,1.316767274,0.00292458
NA,LOC406110,NM_001011594.1,1.530753468,0.937758881,NA
GB50192,LOC406111,NM_001011595.1,1.655981826,1.008391168,0.00301736
GB52077,LOC406112,NM_001011596.1,1.04489046,0.994835827,0.00398705
GB49785,LOC406113,NM_001011597.1,1.373531268,1.189672752,0.00570415
GB49854,LOC406114,NM_001011598.1,1.325461817,0.828413635,0.00328981
GB55208,LOC406116,NM_001011599.1,0.904830378,0.889229855,0.05787286
GB51697,LOC406117,NM_001011600.1,1.09521022,0.786078303,0.00279357
GB55204,LOC406121,NM_001011601.1,0.952628839,1.027344827,0.00144336
GB53296,LOC406123,NM_001011602.1,1.294061362,1.022924696,0.00423535
GB54446,LOC550932,NM_001011603.1,1.011057228,1.025710231,0.00329852
GB42679,LOC406126,NM_001011604.3,1.109311741,1.210158263,0.3012295
GB51369,LOC406127,NM_001011605.1,0.906192358,1.311594203,0.18283526
GB41643,LOC406128,NM_001011606.1,1.490613027,1.021791188,0.0050793
GB44112,LOC406130,NM_001011607.1,1.192463768,1.029855072,0
GB43247,LOC406131,NM_001011608.1,1.116875373,0.923835185,0.00369716
GB55206,LOC406133,NM_001011610.1,1.446919625,0.99593169,0.00245172
GB40696,LOC406134,NM_001011611.2,0.80078125,1.12109375,0.00443287
GB40697,LOC406135,NM_001011612.1,0.727272727,1.818181818,0
GB47546,LOC406140,NM_001011613.1,1.549090909,1.226363636,0.00264473
GB48228,LOC406141,NM_001011614.1,1.156788567,0.667378019,0.00444441
GB51223,LOC406142,NM_001011615.1,0.989490196,0.833254902,0.00113379
GB41428,LOC406143,NM_001011616.2,1.049382716,1.349206349,0.00440896
NA,LOC406144,NM_001011617.1,1.496,0.712380952,NA
GB52775,LOC406146,NM_001011619.1,1.363897684,0.853595829,0.00327419
GB54419,LOC406147,NM_001011620.1,0.755791506,0.881756757,0.00119617
GB53053,LOC406148,NM_001011621.1,1.248623067,0.983763629,0.00337133
GB55207,LOC406149,NM_001011622.1,1.213492063,1.033715461,0.10850692
GB53857,LOC406150,NM_001011623.1,1.296889223,1.010257909,0.00334128
GB44968,LOC406151,NM_001011624.1,1.317051209,0.945965187,0.00271538
GB42644,LOC406153,NM_001011625.2,1.379887815,0.855879784,0.00380201
GB40389,LOC406154,NM_001011626.2,1.295972536,1.175975079,0.00270206
GB43738,LOC406155,NM_001011627.1,1.114551084,0.886574726,0.00576401
GB52028,LOC408385,NM_001011628.2,1.358046869,0.936229281,0.00340911
GB50048,LOC408521,NM_001011629.1,1.438519897,0.988621934,0.00371839
GB49757,LOC408689,NM_001011630.1,1.286808511,0.965106383,0.0028261
GB49105,LOC408758,NM_001011631.1,0.973884703,0.933641533,0.00326769
GB52953,LOC408880,NM_001011632.2,1.332475957,0.934358141,0.00336263
GB40967,LOC408930,NM_001011633.1,1.181001945,0.900620189,0.00340073
GB42692,LOC409227,NM_001011634.2,1.359332603,1.182795901,0.00312255
GB45951,LOC409376,NM_001011635.1,1.415948498,0.919124464,0.00276968
GB40713,LOC409798,NM_001011636.1,1.369665513,0.657439446,0.00528521
GB40416,LOC413254,NM_001011637.1,0.684260509,0.866729978,0.00340455
GB47618,LOC413397,NM_001011638.1,1.655780741,1.349154678,0.00643565
GB50196,LOC413961,NM_001011639.2,1.171143801,1.171143801,0.00317022
GB48492,LOC449496,NM_001011640.1,1.57733076,1.073927326,0.00294129
GB49250,LOC494506,NM_001011641.1,0.969030969,1.315113458,0.43048905
GB51198,LOC494511,NM_001011643.1,0.919351437,1.170083648,0.01101158
GB55240,LOC494522,NM_001011644.2,0.532150776,1.374722838,0.51301036
GB52929,LOC408879,NM_001011650.1,1.181145797,0.864629603,0.00343432
GB40618,LOC408380,NM_001011652.1,1.107648046,0.738432031,0.00527888
GB19642,LOC494503,NM_001011653.1,1.601596204,1.019197584,0.00382503
GB48216,LOC494501,NM_001011654.1,1.117828773,0.690423654,0.00297588
GB40758,LOC503505,NM_001012429.1,0.949152542,0.82426405,0.00273315
GB40439,LOC409372,NM_001012615.1,1.227177721,0.839647914,0.00367801
GB41314,LOC411635,NM_001012627.1,1.481550585,0.874052855,0.0032957
GB53651,LOC503861,NM_001012962.1,0.878654971,1.201426185,0.01105715
GB53951,LOC503862,NM_001012963.1,1.259921569,1.338666667,0.00166596
GB41629,LOC408489,NM_001013006.1,1.250100695,0.93241834,0.00326288
GB41338,LOC411830,NM_001013359.2,1.57720901,0.936955848,0.00358537
GB43456,LOC410902,NM_001013361.1,1.370860841,0.988914732,0.00474124
GB55213,LOC409555,NM_001014429.1,1.223142857,1.008556391,0.16282219
GB45211,LOC411659,NM_001014430.1,1.112566845,0.702673797,0.00439267
GB42577,LOC408995,NM_001014983.1,1.264351255,0.928042335,0.00320626
GB44159,LOC408786,NM_001014991.1,1.205142662,0.832966252,0.0033898
GB43168,LOC409943,NM_001014992.1,1.22023562,0.892215292,0.01496105
GB41358,LOC544670,NM_001014993.1,0.767499811,1.116363362,0.23572517
GB41388,LOC726445,NM_001014994.1,0.877076412,1.549501661,0.07755352
GB55215,LOC409873,NM_001024697.1,1.210935775,1.210935775,0.00260471
GB40671,LOC409779,NM_001032361.1,1.439486392,0.942895016,0.00333243
GB53912,LOC410755,NM_001037318.2,1.472279614,1.125860882,0.00488354
GB53350,LOC408985,NM_001039968.1,1.121280203,1.032465929,0.0029889
GB41756,LOC678510,NM_001040203.1,0.724096177,1.392492648,0.04305553
GB50936,LOC410068,NM_001040204.1,1.272873194,0.838939151,0.00312412
GB46225,LOC551719,NM_001040205.1,1.55919583,1.299329859,0.0069479
GB46230,LOC551935,NM_001040206.1,1.34346419,1.34346419,0.00143086
GB46226,LOC552478,NM_001040207.1,1.403571429,1.336734694,0.00492785
GB53370,LOC677668,NM_001040220.1,1.614035088,1.452631579,0.00130992
GB53371,LOC677671,NM_001040221.1,1.422520661,0.948347107,0.00263889
GB46223,LOC677673,NM_001040223.1,1.068888889,1.151111111,0.00504088
GB46222,LOC677674,NM_001040224.1,1.28561565,1.101956272,0.00253205
GB50151,LOC677675,NM_001040225.1,1.103610675,0.98744113,0.00155462
GB50937,LOC677676,NM_001040226.1,1.25,1.166666667,0.31696211
GB46227,LOC677677,NM_001040227.1,1.253462604,1.504155125,0.00757933
GB40616,LOC677678,NM_001040229.1,1.514465732,1.223222322,0.00162037
GB41856,LOC406104,NM_001040230.1,1.376187625,0.852972521,0.00296811
GB52596,LOC408956,NM_001040231.1,1.025083056,1.08538206,0.00088731
GB51356,LOC409469,NM_001040233.1,0.98331863,1.012671425,0.00367586
GB49890,LOC409677,NM_001040234.1,1.459362371,0.991618021,0.00360226
GB45774,LOC409817,NM_001040235.2,1.052390906,0.981283412,0.0033285
GB43248,LOC409889,NM_001040236.1,1.02637486,0.852413019,0.00350026
GB43163,LOC726946,NM_001040237.1,0.716432859,1.121856105,0.07024763
GB42306,LOC410692,NM_001040255.1,1.132306911,0.930663214,0.17050498
GB55598,LOC410815,NM_001040256.1,1.1984375,0.934375,0.00375534
GB45651,LOC411057,NM_001040257.1,1.429632143,0.9835058,0.00267753
GB51214,LOC411184,NM_001040258.1,0.934230194,0.947205614,0.00263033
GB54549,LOC411257,NM_001040259.1,1.253854715,0.725500842,0.00376659
GB45445,LOC413045,NM_001040262.2,0.39177102,0.652951699,0.72721723
GB55902,LOC551341,NM_001040263.1,0.304734193,1.310357031,0.57510539
GB53230,LOC551388,NM_001040264.1,1.098976578,0.961604506,0.00405201
GB53375,LOC551604,NM_001040265.1,1.064583077,1.194410282,0.00201202
GB48271,LOC552255,NM_001040266.2,1.24061924,1.05744056,0.00298739
GB46914,LOC595137,NM_001040267.1,1.262558666,0.882673758,0.00326489
GB45741,LOC678511,NM_001040269.1,1.807549505,1.257425743,0.00291261
GB45615,LOC678674,NM_001040270.1,0.828009465,0.97855664,0.00239234
GB47635,LOC685996,NM_001040277.1,0.590100942,1.070923932,0.4827517
GB52244,LOC692346,NM_001040681.1,0.387059983,1.196367221,0.05299601
NA,LOC724047,NM_001042458.1,1.188640511,1.142923568,NA
GB18213,LOC552122,NM_001042460.1,1.599538743,1.300958178,0.0013446
GB45150,LOC408363,NM_001077808.1,1.214104909,0.877703045,0.00351051
GB43543,LOC408450,NM_001077809.1,1.163963205,0.896566252,0.01161525
GB55547,LOC408658,NM_001077810.1,1.184492904,1.021114573,0.00230587
GB50822,LOC409040,NM_001077811.1,1.269483568,0.866666667,0.00383763
GB45542,LOC412740,NM_001077812.1,1.060288292,0.978727654,0.00167287
GB40067,LOC412747,NM_001077813.1,0.55676366,1.127446412,0.40513516
GB52326,LOC413565,NM_001077814.1,1.113592765,1.007536311,0.00414006
GB52791,LOC552640,NM_001077815.1,0.581581835,1.453954588,0.28207924
GB50207,LOC552785,NM_001077816.1,1.180282342,0.826197639,0.00326861
GB43621,LOC724078,NM_001077817.1,1.028531809,0.765127322,0.00270161
GB43332,LOC724079,NM_001077818.1,1.29551276,1.315755147,0.00068402
GB13325,LOC725103,NM_001077819.1,0.663740123,1.327480246,0.15464724
GB43823,LOC725382,NM_001077820.1,1.416360968,1.28760088,0.00189394
GB14021,LOC726702,NM_001077821.1,1.239632166,1.090562475,0.00311846
GB45548,LOC726970,NM_001077822.1,0.950920323,0.8344811,0.0047499
GB47694,LOC751098,NM_001077823.2,1.408991009,0.962237762,0.00453058
GB53665,LOC751102,NM_001077824.1,0.727929418,1.100358423,0.00171181
GB50034,LOC768250,NM_001077825.1,0.718633641,1.249797636,0.0790551
NA,LOC751767,NM_001078661.1,1.402770905,1.402770905,NA
GB53055,LOC410478,NM_001079560.1,1.019515744,0.785681858,0.00312041
GB47845,LOC725996,NM_001079561.1,1.260463162,0.843617077,0.0046232
GB55630,LOC411672,NM_001080094.2,1.289210563,0.944421692,0.00396168
GB43416,LOC551010,NM_001080095.1,1.177453602,0.896115131,0.00316972
GB11364,LOC410309,NM_001080110.1,1.003109644,1.118409603,0.00348197
GB51822,LOC408611,NM_001080205.1,0.516860354,1.048922484,0.2555087
GB51095,LOC410197,NM_001083630.1,0.961507447,0.920880372,0.00285926
GB53114,LOC100037419,NM_001085344.1,0.914417614,1.201806006,0.00349752
GB53115,LOC551367,NM_001085345.1,1.262280059,1.223240469,0.00213146
GB53119,LOC727161,NM_001085346.1,1.178768863,1.406917675,0.00376198
NA,LOC726117,NM_001097154.2,0.451350051,1.407150159,NA
GB40389,LOC406154,NM_001098167.1,1.295121951,1.175203252,0.00270206
GB50090,LOC408529,NM_001098214.1,0.920300752,1.231578947,0.09852503
GB48059,LOC406084,NM_001098215.2,1.060400648,0.964790753,0.00420686
GB55216,LOC724153,NM_001098217.1,0.795971386,0.850865964,0.00569851
GB18327,LOC726755,NM_001098218.1,1.268728144,1.081302396,0.00335405
GB51938,LOC551621,NM_001098219.1,1.283325548,0.88167404,0.00350235
GB42850,LOC726214,NM_001098220.1,1.181390407,0.757134183,0.00350221
GB43275,LOC724143,NM_001098221.1,1.155183896,0.82377868,0.00313648
GB48794,LOC408273,NM_001098223.1,1.295509222,0.896891,0.00341513
GB53427,LOC411303,NM_001098224.2,1.350660246,0.871393707,0.00198056
