"morandin.ogg","module","blast2GOannotation"
"EOG703DBR",1,"hypothetical protein EAG_15657"
"EOG7094T4",1,"Serine/threonine-protein kinase PFTAIRE-1"
"EOG70D123",1,"Inositol-3-phosphate synthase 1-A"
"EOG70GW8X",1,"Frizzled-7"
"EOG70KRHN",1,"hypothetical protein SINV_80660"
"EOG70KRHQ",1,"hypothetical protein SINV_01190"
"EOG70SH15",1,"Heterogeneous nuclear ribonucleoprotein L"
"EOG70WC80",1,"HemK methyltransferase family member 1"
"EOG70WC84",1,"hypothetical protein SINV_02725"
"EOG715ZZ5",1,"hypothetical protein SINV_16586"
"EOG715ZZF",1,"Double C2-like domain-containing protein beta"
"EOG71CQFB",1,"Zinc finger protein 84"
"EOG71GKP0",1,"EH domain-binding protein 1"
"EOG71GKPM",1,"hypothetical protein SINV_07141"
"EOG71KFWZ",1,"hypothetical protein EAG_03918"
"EOG71PB52",1,"hypothetical protein SINV_06861"
"EOG71S6CT",1,"Vacuolar protein sorting-associated protein 53-like protein"
"EOG71ZXW4",1,"hypothetical protein SINV_04773"
"EOG722T3K",1,"E3 ubiquitin-protein ligase Bre1"
"EOG722T4B",1,"Polyadenylate-binding protein 2"
"EOG722T4D",1,"hypothetical protein SINV_03816"
"EOG728JMF",1,"hypothetical protein SINV_03128"
"EOG72CDTB",1,"Structural maintenance of chromosomes protein 1A"
"EOG72CDTH",1,"TBC1 domain family member 16"
"EOG72CDTM",1,"60 kDa SS-A/Ro ribonucleoprotein"
"EOG72CDV7",1,"PREDICTED: ras-related protein Rab-26 isoform 1"
"EOG72G92R",1,"WAS protein family-like protein 1"
"EOG72K597",1,"Serine/threonine-protein kinase SMG1"
"EOG72P1J4",1,"Uncharacterized protein KIAA0460"
"EOG72RWS3",1,"hypothetical protein SINV_08491"
"EOG72VS1C",1,"hypothetical protein SINV_02703"
"EOG72VS1F",1,"Transmembrane and coiled-coil domains protein 1"
"EOG72ZN80",1,"hypothetical protein SINV_12832"
"EOG732HGV",1,"E3 ubiquitin-protein ligase TRIM33"
"EOG7387ZS",1,"hypothetical protein SINV_12537"
"EOG73RM5H",1,"RB1-inducible coiled-coil protein 1"
"EOG73RM5X",1,"tRNA (guanine-N(1)-)-methyltransferase"
"EOG74534B",1,"UPF0469 protein KIAA0907-like protein"
"EOG74FPVG",1,"Coiled-coil domain-containing protein 6"
"EOG74JK31",1,"hypothetical protein SINV_12658"
"EOG74NFB2",1,"Dymeclin"
"EOG74NFBJ",1,"Nuclear distribution protein nudE-like 1-A"
"EOG74R9JV",1,"hypothetical protein SINV_10212"
"EOG74V5SW",1,"hypothetical protein SINV_80961"
"EOG74V5T6",1,"Amphiphysin"
"EOG74Z21Q",1,"hypothetical protein SINV_01825"
"EOG74Z21W",1,"Bestrophin-1"
"EOG757NRB",1,"Uncharacterized protein KIAA0467"
"EOG757NS4",1,"hypothetical protein SINV_00880"
"EOG75FD7F",1,"Probable ATP-dependent RNA helicase DDX5"
"EOG75FD7H",1,"Proton-coupled amino acid transporter 4"
"EOG75FD7P",1,"hypothetical protein SINV_16251"
"EOG75J8GQ",1,"hypothetical protein SINV_09953"
"EOG75N4Q5",1,"hypothetical protein SINV_15111"
"EOG75N4QJ",1,"Ras-GEF domain-containing family member 1B"
"EOG75N4QR",1,"2-oxoisovaleratedehydrogenasesubunitbeta,mitochondrial"
"EOG75TW6F",1,"hypothetical protein SINV_04947"
"EOG75TW70",1,"hypothetical protein SINV_14878"
"EOG75XRF0",1,"hypothetical protein TcasGA2_TC001718"
"EOG767C4T",1,"Filamin-A"
"EOG767C51",1,"Zinc finger protein 263"
"EOG767C57",1,"26S protease regulatory subunit 7"
"EOG76B7CT",1,"Tyrosine-protein phosphatase non-receptor type 9"
"EOG76HZVX",1,"hypothetical protein SINV_00449"
"EOG76MV3G",1,"PREDICTED: protein lap1-like"
"EOG76QQC2",1,"hypothetical protein EAG_06123"
"EOG76XFT5",1,"RING and PHD-finger domain-containing protein KIAA1542"
"EOG76XFTP",1,"hypothetical protein SINV_03002"
"EOG771B2F",1,"DNA primase large subunit"
"EOG771B2X",1,"hypothetical protein SINV_09864"
"EOG77469M",1,"hypothetical protein SINV_00320"
"EOG7772JF",1,"hypothetical protein SINV_00123"
"EOG77MJGZ",1,"hypothetical protein G5I_09224"
"EOG77MJHN",1,"Zinc finger Ran-binding domain-containing protein 2"
"EOG77QDQR",1,"Zinc finger protein ubi-d4"
"EOG77T90P",1,"hypothetical protein SINV_03166"
"EOG77X56J",1,"hypothetical protein SINV_08876"
"EOG7811FM",1,"hypothetical protein SINV_12928"
"EOG783WPK",1,"hypothetical protein SINV_00125"
"EOG786RX8",1,"Dedicator of cytokinesis protein 3"
"EOG786RXS",1,"hypothetical protein SINV_10895"
"EOG786RZ4",1,"PREDICTED: ras-related protein Rab-6A-like"
"EOG78DHDJ",1,"hypothetical protein EAG_02232"
"EOG78DHDQ",1,"Serine-enriched protein"
"EOG78DHF6",1,"hypothetical protein SINV_07012"
"EOG78HCNC",1,"PREDICTED: ubiquitin-40S ribosomal protein S27a-like"
"EOG78HCNF",1,"hypothetical protein SINV_04909"
"EOG78HCNQ",1,"Synaptogyrin-2"
"EOG78HCNV",1,"Glyoxalase domain-containing protein 4"
"EOG78M7W4",1,"hypothetical protein SINV_02519"
"EOG78M7W7",1,"Calpain-C"
"EOG78Q447",1,"MAGUK p55 subfamily member 7"
"EOG78Q44J",1,"Innexin inx1"
"EOG78T0C0",1,"hypothetical protein SINV_15864"
"EOG790QTR",1,"Centrosomal protein of 290 kDa"
"EOG790QTV",1,"Protein wings apart-like"
"EOG793M2Q",1,"LIM domain kinase 1"
"EOG793M2Z",1,"Moesin/ezrin/radixin-like protein 1"
"EOG79D6SP",1,"hypothetical protein SINV_13754"
"EOG79PTHF",1,"ADAM 12"
"EOG79SPR4",1,"Spectrin alpha chain"
"EOG79SPR9",1,"hypothetical protein EAG_08307"
"EOG79SPRM",1,"hypothetical protein G5I_08836"
"EOG7B65Q1",1,"AAEL017207-PA"
"EOG7B91ZB",1,"Cyclin-L1"
"EOG7B91ZJ",1,"hypothetical protein SINV_02790"
"EOG7BSD56",1,"Chromobox protein-like protein 6"
"EOG7BSD5F",1,"hypothetical protein SINV_10853"
"EOG7BW8CM",1,"Rap1 GTPase-activating protein 1"
"EOG7BW8D9",1,"CTD small phosphatase-like protein"
"EOG7C04MQ",1,"Nuclear receptor coactivator 5"
"EOG7C8RB5",1,"Putative RNA-binding protein 16"
"EOG7C8RBT",1,"YTH domain-containing protein 1"
"EOG7CCMKZ",1,"Growth factor receptor-bound protein 14"
"EOG7CGGT8",1,"Palmitoyltransferase ZDHHC17"
"EOG7CGGTP",1,"Basi n"
"EOG7CKC1V",1,"UPF0493 protein AAEL009648"
"EOG7CKC2N",1,"Protein sex-lethal"
"EOG7CS3J6",1,"Endoplasmic reticulum lectin 1"
"EOG7DC9ZG",1,"Insulin receptor"
"EOG7DCB07",1,"Glyoxylate reductase/hydroxypyruvate reductase"
"EOG7DG66R",1,"hypothetical protein SINV_12788"
"EOG7DG675",1,"Macrophage mannose receptor 1"
"EOG7DNXP8",1,"Importin-5"
"EOG7DRSXF",1,"NUAK family SNF1-like kinase 1"
"EOG7DZJD5",1,"Bromodomain-containing protein 8"
"EOG7F58VX",1,"PREDICTED: ras-related protein Rab-26 isoform 1"
"EOG7F58W3",1,"G protein-coupled receptor kinase 1"
"EOG7F853T",1,"hypothetical protein SINV_80337"
"EOG7FC1C3",1,"hypothetical protein SINV_12286"
"EOG7FC1C8",1,"Protein prenyltransferase alpha subunit repeat-containing protein 1"
"EOG7FFWM0",1,"Transcription elongation factor B polypeptide 2"
"EOG7FFWMV",1,"U6 snRNA-associated Sm-like protein LSm3"
"EOG7FJRTP",1,"hypothetical protein SINV_01896"
"EOG7FJRTV",1,"Arsenite-resistance protein 2-like protein"
"EOG7FJRTW",1,"G protein-coupled receptor kinase 2"
"EOG7FJRV2",1,"Probable E3 ubiquitin-protein ligase RNF144A"
"EOG7FNN2F",1,"Huntingtin"
"EOG7FNN2H",1,"Lethal(3)malignant brain tumor-like 3 protein"
"EOG7FNN3R",1,"hypothetical protein SINV_05922"
"EOG7FRHB4",1,"RILP-like protein-like protein"
"EOG7FZ7SJ",1,"hypothetical protein EAI_15774"
"EOG7G7VHN",1,"Transmembrane protein 184B"
"EOG7GBQRB",1,"DnaJ-like protein subfamily C member 11"
"EOG7GFM0X",1,"nanos"
"EOG7GNBGM",1,"Upstream stimulatory factor 2"
"EOG7GR6PQ",1,"DOMON domain-containing protein"
"EOG7GR6Q3",1,"hypothetical protein SINV_12035"
"EOG7GV2ZM",1,"hypothetical protein EAG_00608"
"EOG7GXZ6B",1,"Nuclear autoantigenic sperm protein"
"EOG7H4PNN",1,"Protein zer-1-like protein"
"EOG7H4PPH",1,"hypothetical protein EAG_02591"
"EOG7HBF49",1,"hypothetical protein SINV_05223"
"EOG7HBF52",1,"YrdCdomain-containingprotein,mitochondrial"
"EOG7HBF59",1,"hypothetical protein SINV_10530"
"EOG7HF9DD",1,"G1/S-specific cyclin-D2"
"EOG7HTSB5",1,"Protein ar nine N-methyltransferase 7"
"EOG7HTSBB",1,"Mucolipin-3"
"EOG7HXNKM",1,"hypothetical protein EAG_00510"
"EOG7J4D26",1,"estrogen-related receptor"
"EOG7JB4HR",1,"hypothetical protein SINV_08642"
"EOG7JB4HS",1,"Homeodomain-interacting protein kinase 2"
"EOG7JB4JC",1,"Probable oxidoreductase KIAA1576"
"EOG7JF0S5",1,"hypothetical protein SINV_14008"
"EOG7JHW0W",1,"hypothetical protein SINV_08701"
"EOG7JHW10",1,"GA-binding protein subunit beta-2"
"EOG7JHW16",1,"UPF0414 transmembrane protein C20orf30-like protein"
"EOG7JMR7K",1,"PREDICTED: hypothetical protein LOC100646318"
"EOG7JXBZ9",1,"Serine/threonine-protein kinase ATR"
"EOG7JXBZS",1,"hypothetical protein SINV_15615"
"EOG7KDQ54",1,"hypothetical protein SINV_13912"
"EOG7KDQ5J",1,"Serine-ar nine protein 55"
"EOG7KHKDJ",1,"hypothetical protein SINV_02331"
"EOG7KMFN9",1,"hypothetical protein SINV_13662"
"EOG7KMFNG",1,"hypothetical protein SINV_00348"
"EOG7KQ9W2",1,"hypothetical protein SINV_03941"
"EOG7KX2BP",1,"hypothetical protein SINV_06678"
"EOG7KX2BX",1,"hypothetical protein SINV_11743"
"EOG7KX2CJ",1,"Lontudinalslackingprotein,isoformG"
"EOG7M0XKG",1,"hypothetical protein SINV_09261"
"EOG7M0XM0",1,"hypothetical protein SINV_02994"
"EOG7M0XM8",1,"hypothetical protein SINV_07509"
"EOG7M3STV",1,"Protein farnesyltransferase subunit beta"
"EOG7M3STZ",1,"Putative S-adenosyl-L-methionine-dependent methyltransferase CG14683"
"EOG7M9JB9",1,"Fattyacid-bindingprotein,muscle"
"EOG7MM523",1,"hypothetical protein EAI_15891"
"EOG7MSWH6",1,"Nck-associated protein 5"
"EOG7N3H6P",1,"Acetyl-CoA carboxylase"
"EOG7N3H6V",1,"PREDICTED: probable N-acetyltransferase san-like isoform 1"
"EOG7N6CFV",1,"WDrepeat,SAMandU-boxdomain-containingprotein"
"EOG7N97PH",1,"DNA-directed RNA polymerase II subunit RPB1"
"EOG7NH05M",1,"hypothetical protein SINV_09055"
"EOG7NH05W",1,"Integral membrane protein"
"EOG7NKVDD",1,"hypothetical protein SINV_11565"
"EOG7NKVDF",1,"hypothetical protein SINV_80243"
"EOG7NPQNC",1,"Zinc finger Ran-binding domain-containing protein 1"
"EOG7NSKWH",1,"Nucleosome-remodeling factor subunit NURF301"
"EOG7NSKX1",1,"RING finger protein 121"
