ID	RNAacc	CDSlen_ucsc	IntronLen_ucsc	UTRlen_ucsc	TotalLen_ucsc	CDSlen_GB	Q_bagel	SW_bagel	RW_bagel	Q/SW	log2Q/SW	P(Q>N)	P(Q>O)	P(N>Q)	P(N>O)	P(O>Q)	P(O>N)	Sig	FlyID	OGID	NoSpecies	AmelBranch	NvitBranch	ID2	CAI	ID3	Nc	ID4	Len_aa	Len_sym	GC	GC3s	GCn3s	GC1	GC2	GC3	T1	T2	T3	C1	C2	C3	A1	A2	A3	G1	G2	G3	RNAacc2	IntronGC	chromosome	start	end	RNAacc3	length	validLength	nrLength	gcContent	cpgContent	cpgOE	gpcContent	gpcOE	nrGCcontent	nrCpGcontent	nrCpGOE	nrGpCContent	nrGpCOE	abs_log2Q/SW
GB10001						1146																		GB10001-RA	0.698	GB10001-RA	53.46	GB10001-RA	381	351	0.377	0.407	0.364	0.367	0.31	0.454	0.22	0.43	0.283	0.152	0.163	0.184	0.412	0.26	0.262	0.215	0.147	0.27																				
GB10002	XM_001120452					4035													FBgn0039527	406	4	0.13266	0.14219	GB10002-RA	0.694	GB10002-RA	57.41	GB10002-RA	1344	1313	0.47	0.388	0.51	0.521	0.487	0.402	0.222	0.215	0.299	0.21	0.234	0.193	0.257	0.298	0.299	0.311	0.253	0.209																				
GB10003	XM_625006	507	776	67	1350	420						0.9894	0.9803	0.0106	0.3673	0.0197	0.6327		FBgn0034837	7866	5	0.018869	0	GB10003-RA	0.753	GB10003-RA	54.4	GB10003-RA	139	135	0.336	0.259	0.372	0.432	0.295	0.281	0.173	0.23	0.367	0.137	0.173	0.137	0.396	0.475	0.353	0.295	0.122	0.144	XM_625006	0.16	chr14	2410493	2411843	XM_625006	1351	1351	957	0.232420429	0.011111111	0.830331277	0.014074074	1.051752951	0.298850575	0.015789474	0.713055902	0.02	0.903204142	
GB10004	XR_015042					1452													FBgn0032191	3720	5	0.20952	0.18604	GB10004-RA	0.876	GB10004-RA	33.89	GB10004-RA	483	466	0.275	0.084	0.366	0.416	0.294	0.116	0.238	0.306	0.429	0.164	0.153	0.029	0.346	0.4	0.455	0.253	0.141	0.087																				
GB10005	XM_393055	1419	586	270	2275	1422	0.975264053	1.038578195	0.986157752	0.939037674	-0.090745054	0.1435	0.4661	0.8565	0.8564	0.5339	0.1436	NS	FBgn0036372	4032	5	0.11975	0.091915	GB10005-RA	0.86	GB10005-RA	39.47	GB10005-RA	473	458	0.342	0.12	0.447	0.51	0.368	0.148	0.156	0.214	0.37	0.163	0.214	0.066	0.334	0.419	0.482	0.347	0.154	0.082	XM_393055	0.15	chr10	4888011	4890286	XM_393055	2276	2276	1910	0.280755712	0.015384615	0.805000155	0.026373626	1.380000266	0.317277487	0.018353435	0.75055113	0.029889879	1.222326126	0.090745054
GB10006	XM_624837	1296	4909	258	6463	1302	0.948274772	1.055685856	0.996039372	0.898254691	-0.154803531	0.1553	0.4433	0.8447	0.825	0.5567	0.175	NS	FBgn0001203	3203	4	0.051384	0.083171	GB10006-RA	0.756	GB10006-RA	49.72	GB10006-RA	433	407	0.402	0.253	0.47	0.476	0.432	0.298	0.229	0.259	0.356	0.171	0.212	0.148	0.296	0.309	0.346	0.305	0.219	0.15	XM_624837	0.2	chrUn	54491110	54497573	XM_624837	6464	6464	4935	0.244894802	0.022435402	1.504294237	0.020733406	1.390175364	0.290982776	0.027715508	1.314723824	0.025881394	1.227720041	0.154803531
GB10007	XM_625246	1215	1622	145	2982	1215	0.867217446	1.027236409	1.105546145	0.844223821	-0.244302558	0	0.0002	1	0.0429	0.9998	0.9571	W						GB10007-RA	0.62	GB10007-RA	56.89	GB10007-RA	404	386	0.481	0.523	0.461	0.488	0.411	0.545	0.243	0.347	0.27	0.196	0.23	0.307	0.27	0.243	0.186	0.292	0.181	0.238	XM_625246	0.33	chrUn	17683809	17686791	XM_625246	2983	2515	2412	0.36500994	0.031038599	0.932147567	0.033028253	0.991900616	0.377694859	0.03237858	0.908141254	0.03445413	0.966355437	0.244302558
GB10008	XM_393219	1272	1320	1006	3598	1272																		GB10008-RA	0.835	GB10008-RA	38.8	GB10008-RA	423	408	0.306	0.135	0.387	0.418	0.333	0.165	0.26	0.324	0.411	0.163	0.173	0.092	0.322	0.343	0.423	0.255	0.161	0.073	XM_393219	0.12	chr6	2506272	2509870	XM_393219	3599	3599	2694	0.232286746	0.014452474	1.073862546	0.018621456	1.383630588	0.29064588	0.018656716	0.885396304	0.024626866	1.168723121	
GB10009	XM_396338	1353	388	411	2152	1353																		GB10009-RA	0.792	GB10009-RA	44.68	GB10009-RA	450	436	0.396	0.222	0.478	0.544	0.396	0.247	0.204	0.28	0.418	0.171	0.236	0.142	0.251	0.324	0.336	0.373	0.16	0.104	XM_396338	0.16	chr15	1430285	1432437	XM_396338	2153	2153	1914	0.324663261	0.032992565	1.270807294	0.030669145	1.181313823	0.356844305	0.03721174	1.186434636	0.033542977	1.069462207	
GB10010	XM_391882	3147	3426	252	6825	3147														1044	4	0.046988	0.063224	GB10010-RA	0.585	GB10010-RA	53.02	GB10010-RA	1048	1010	0.56	0.608	0.537	0.592	0.466	0.622	0.16	0.221	0.173	0.266	0.278	0.273	0.248	0.313	0.205	0.325	0.188	0.349	XM_391882	0.4	chr11	114348	121173	XM_391882	6826	6826	6235	0.477878699	0.081465201	1.430888933	0.058461538	1.026842958	0.503769046	0.087578338	1.382553961	0.062831432	0.991887337	
