target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1082.21	50793	2908.47
NM_001011562.1	863	694.285	778.59	69.4935
NM_001011563.1	2084	1915.21	232	7.50662
NM_001011564.2	1326	1157.21	1	0.0535501
NM_001011565.1	3023	2854.21	421.041	9.14136
NM_001011566.1	1503	1334.21	0	0
NM_001011567.1	4030	3861.21	41	0.658011
NM_001011568.1	2077	1908.21	637.567	20.7049
NM_001011570.1	582	413.476	7787	1167.06
NM_001011571.1	2093	1924.21	147.679	4.75597
NM_001011572.1	2346	2177.21	11196	318.666
NM_001011573.1	3160	2991.21	326.285	6.75963
NM_001011574.1	1940	1771.21	945.489	33.0795
NM_001011575.1	2163	1994.21	137	4.25719
NM_001011576.1	1195	1026.21	24	1.44926
NM_001011577.1	2389	2220.21	465.258	12.9859
NM_001011578.1	5441	5272.21	5	0.0587693
NM_001011579.1	1430	1261.21	32	1.5723
NM_001011580.1	1544	1375.21	19	0.856165
NM_001011581.1	2439	2270.21	3805	103.863
NM_001011582.1	356	192.068	159	51.2997
NM_001011583.2	635	466.385	63538	8442.32
NM_001011584.1	1606	1437.21	1	0.0431174
NM_001011585.1	1638	1469.21	77.1493	3.25402
NM_001011586.1	2205	2036.21	2205	67.1056
NM_001011587.1	496	328	4.31	0.814284
NM_001011588.1	724	555.285	6	0.66959
NM_001011589.1	624	455.431	3	0.408199
NM_001011590.1	574	405.476	75	11.4622
NM_001011591.1	584	415.476	1	0.149151
NM_001011592.1	1590	1421.21	1617.33	70.5204
NM_001011593.1	548	379.555	11.8445	1.93381
NM_001011594.1	4195	4026.21	77.2863	1.18954
NM_001011595.1	2818	2649.21	26.5417	0.620849
NM_001011596.1	4100	3931.21	266	4.19303
NM_001011597.1	2673	2504.21	273.86	6.77689
NM_001011598.1	1624	1455.21	6	0.255504
NM_001011599.1	1942	1773.21	1	0.0349472
NM_001011600.1	2052	1883.21	151120	4972.74
NM_001011601.1	1830	1661.21	4	0.149214
NM_001011602.1	2795	2626.21	2799	66.046
NM_001011603.1	1683	1514.21	5091.91	208.385
NM_001011604.3	685	516.338	13.3481	1.60199
NM_001011605.1	1448	1279.21	293	14.1938
NM_001011606.1	1757	1588.21	10.4758	0.408745
NM_001011607.1	374	209.035	6	1.77871
NM_001011608.1	1873	1704.21	85.4592	3.10748
NM_001011610.1	1612	1443.21	2	0.0858763
NM_001011611.2	369	204.285	0	0
NM_001011612.1	304	144.344	0	0
NM_001011613.1	710	541.285	10.201	1.16786
NM_001011614.1	688	519.338	5	0.596613
NM_001011615.1	664	495.338	114	14.2619
NM_001011616.2	680	511.338	147	17.8149
NM_001011617.1	374	209.035	0	0
NM_001011619.1	1559	1390.21	36.4786	1.62604
NM_001011620.1	957	788.211	415	32.6271
NM_001011621.1	3254	3085.21	75.3229	1.51292
NM_001011622.1	1529	1360.21	5	0.227791
NM_001011623.1	3376	3207.21	8.20935	0.158619
NM_001011624.1	4969	4800.21	1031.55	13.3169
NM_001011625.2	1940	1771.21	102.478	3.58536
NM_001011626.2	755	586.285	28043.9	2964.16
NM_001011627.1	2520	2351.21	792	20.874
NM_001011628.2	1386	1217.21	906.611	46.156
NM_001011629.1	14440	14271.2	38.5917	0.167574
NM_001011630.1	630	461.385	8554.18	1148.91
NM_001011631.1	1741	1572.21	149.669	5.8992
NM_001011632.2	2009	1840.21	52.8517	1.77977
NM_001011633.1	1533	1364.21	882.992	40.1096
NM_001011634.2	3754	3585.21	6.2849	0.108632
NM_001011635.1	1447	1278.21	767	37.1848
NM_001011636.1	570	401.517	4386	676.921
NM_001011637.1	1369	1200.21	103.941	5.36666
NM_001011638.1	584	415.476	3	0.447454
NM_001011639.2	1806	1637.21	16	0.605604
NM_001011640.1	991	822.211	6756.65	509.239
NM_001011641.1	970	801.211	301.981	23.3564
NM_001011643.1	2378	2209.21	419.691	11.7724
NM_001011644.2	1200	1031.21	4	0.240373
NM_001011650.1	2242	2073.21	76	2.27166
NM_001011652.1	462	294.405	10	2.10488
NM_001011653.1	450	282.723	2671	585.444
NM_001011654.1	447	279.752	6120	1355.66
NM_001012429.1	672	503.338	531.399	65.4236
NM_001012615.1	1097	928.211	33	2.20313
NM_001012627.1	3153	2984.21	155	3.21866
NM_001012962.1	3606	3437.21	106	1.91105
NM_001012963.1	502	333.934	0	0
NM_001013006.1	2991	2822.21	0	0
NM_001013359.2	1964	1795.21	20.3299	0.701766
NM_001013361.1	4113	3944.21	864	13.5746
NM_001014429.1	1427	1258.21	0	0
NM_001014430.1	438	270.807	0	0
NM_001014983.1	3250	3081.21	5.43837	0.109376
NM_001014991.1	7242	7073.21	1834.36	16.071
NM_001014992.1	2272	2103.21	1241.3	36.5736
NM_001014993.1	1386	1217.21	32098.8	1634.17
NM_001014994.1	1892	1723.21	1866	67.1037
NM_001024697.1	1793	1624.21	0	0
NM_001032361.1	3585	3416.21	23.0251	0.417667
NM_001037318.2	2515	2346.21	0	0
NM_001039968.1	1349	1180.21	5.63584	0.295919
NM_001040203.1	644	475.338	129.031	16.8215
NM_001040204.1	793	624.285	258.345	25.6443
NM_001040205.1	698	529.338	1.02841	0.120394
NM_001040206.1	682	513.338	19	2.29363
NM_001040207.1	1179	1010.21	6	0.368055
NM_001040220.1	483	315.193	0	0
NM_001040221.1	459	291.464	0	0
NM_001040223.1	555	386.555	14218	2279.29
NM_001040224.1	399	233.001	435	115.692
NM_001040225.1	407	240.621	0	0
NM_001040226.1	432	264.887	11	2.57338
NM_001040227.1	724	555.285	0	0
NM_001040229.1	453	285.666	0.728517	0.158035
NM_001040230.1	13107	12938.2	2929.28	14.0301
NM_001040231.1	363	198.632	3	0.935934
NM_001040233.1	1647	1478.21	198.447	8.3192
NM_001040234.1	1500	1331.21	1	0.0465507
NM_001040235.2	6077	5908.21	10.5996	0.111175
NM_001040236.1	1767	1598.21	8	0.310191
NM_001040237.1	5107	4938.21	3287	41.248
NM_001040255.1	1893	1724.21	117.011	4.20543
NM_001040256.1	767	598.285	4711.87	488.044
NM_001040257.1	1554	1385.21	53.4069	2.38921
NM_001040258.1	1250	1081.21	22122.3	1267.92
NM_001040259.1	1743	1574.21	267	10.5105
NM_001040262.2	438	270.807	9	2.05947
NM_001040263.1	1550	1381.21	454.63	20.3973
NM_001040264.1	1600	1431.21	87	3.76694
NM_001040265.1	1689	1520.21	17.9174	0.730372
NM_001040266.2	1599	1430.21	239.034	10.357
NM_001040267.1	1895	1726.21	1891	67.8845
NM_001040269.1	1397	1228.21	4.0001	0.201823
NM_001040270.1	509	340.766	0	0
NM_001040277.1	2150	1981.21	164.366	5.14108
NM_001040681.1	2499	2330.21	339	9.01525
