Gene	gamma
GB42164	1.937850553
GB42163	-0.682311095
GB42162	-0.250627582
GB42161	0.346329825
GB42166	-0.479526356
GB42167	1.101693182
GB42160	-1.006396559
GB42168	-0.505258032
GB42169	0.297525325
GB42170	-0.278152531
GB42159	-0.317610747
GB42157	0.00042307
GB42171	-0.000150952
GB42172	0.014458769
GB42174	-0.022493355
GB42175	-0.059739113
GB42156	-0.169511184
GB42176	1.251923947
GB42155	0.304824974
GB42177	-0.00627318
GB42153	0.281485489
GB42178	0.109232507
GB42152	0.470319181
GB42180	0.08908053
GB42151	0.469656463
GB42181	-0.867350439
GB42150	0.41294214
GB42149	-0.109512135
GB42148	1.170335791
GB42182	0.52591574
GB42147	1.355892102
GB42183	0.254959336
GB42146	-0.274817786
GB42184	0.206589144
GB42145	-0.256003434
GB42186	0.318793711
GB42187	-0.276007453
GB42188	0.276281448
GB42144	1.645528911
GB42189	-0.544142209
GB42143	-0.136512712
GB42190	-0.33265742
GB42191	-0.160013244
GB42142	-0.29479687
GB42141	0.388348252
GB42192	-0.388704153
GB42140	-0.550768375
GB42193	-0.585587293
GB42139	-0.077362727
GB42194	-0.342003634
GB42138	0.082136317
GB42195	-0.154117053
GB45852	-0.288119821
GB45853	1.052535169
GB45851	0.45960936
GB45854	0.408984469
GB45855	-0.276001509
GB45850	1.005934508
GB45848	1.114708767
GB45856	0.193524818
GB45857	-0.814070048
GB45859	-0.01534488
GB45847	1.143214544
GB45846	-0.317602795
GB45845	0.807061447
GB45860	2.628558787
GB45844	-0.006455268
GB45843	0.113536531
GB45842	0.449475805
GB45841	0.462823111
GB45840	0.415535819
GB45839	0.347959052
GB45838	2.202858269
GB45861	-0.727303325
GB45862	2.370782424
GB45863	0.192396732
GB45864	-0.175041358
GB45837	-0.609243616
GB45865	-0.301919547
GB45836	-0.237874535
GB45834	1.592798547
GB45833	0.710363464
GB45832	-0.082407573
GB45831	-0.036711688
GB45866	0.301808151
GB45830	0.05759642
GB45867	-0.32832088
GB45829	-0.198211492
GB45868	-0.439661837
GB45828	0.093189956
GB45827	-0.304134906
GB45869	-0.048055405
GB45870	0.283951181
GB45826	-0.214661869
GB45871	-0.269604968
GB45825	-0.258506305
GB45872	-0.333497338
GB45873	0.380959138
GB45824	0.17958711
GB45874	0.363031571
GB45875	1.020174195
GB45823	-0.254865461
GB45876	-0.606365023
GB45822	-0.660486134
GB45877	-0.435446278
GB45821	0.216219118
GB45878	0.326544784
GB45820	0.335243074
GB45879	0.496753892
GB45880	-0.385893726
GB45819	0.759843416
GB45818	-0.086469721
GB45881	0.086723594
GB45882	0.737200408
GB45817	0.084135749
GB45815	1.026413281
GB45883	0.054526137
GB45884	0.506383388
GB45814	-0.071237223
GB45885	0.56207427
GB45813	-0.212507948
GB45812	0.204228216
GB45886	1.172854213
GB45811	0.38365344
GB45810	0.674526521
GB45887	-0.477653083
GB45809	-0.00227169
GB40869	-0.108405829
GB40870	-0.14796209
GB40871	0.323142158
GB40868	-0.674404977
GB46538	-0.531914393
GB46537	0.434900191
GB46539	-0.561449606
GB46536	0.161109736
GB46540	-1.001659648
GB46541	-0.387920324
GB46535	1.331059725
GB46542	-0.281808407
GB46543	0.370200253
GB46544	0.009013436
GB46534	-0.059690436
GB46533	0.353446263
GB46532	-0.575876874
GB46531	-0.769300826
GB46530	-0.459841052
GB46545	-0.29088101
GB46546	-0.495327315
GB46547	0.38914191
GB46548	-0.529933456
GB41056	-1.096360636
GB41053	0.066449601
GB41052	6.79338012
GB41051	0.495888104
GB41050	3.399464126
GB41049	-0.447538633
GB41048	-0.616495286
GB41059	-0.636500099
GB41047	0.152758509
GB41060	-0.523047032
GB41046	-0.727570188
GB41045	-0.482928402
GB41043	0.195699213
GB41063	-0.291206713
GB41042	-0.405515583
GB41041	-0.44192587
GB41064	-0.220889234
GB41065	0.66367163
GB41039	-0.274807869
GB41066	-0.091499572
GB41038	1.479340717
GB41067	0.113862251
GB41037	-0.227537238
GB41068	0.531436723
GB41069	0.034180367
GB41036	0.108191493
GB41070	-0.337141633
GB41035	0.316708723
GB41073	0.038974303
GB41074	0.68131597
GB41034	-0.412079552
GB41033	0.551055867
GB41032	-0.283788614
GB41075	-0.441521698
GB41076	0.211307478
GB41031	-0.267837585
GB41078	-0.601802126
GB41030	-0.610284632
GB41029	0.222542397
GB41028	-0.402525728
GB41079	-0.336908695
GB41080	-0.549161658
GB41082	-0.249205142
GB41083	0.284919653
GB41027	-0.506706833
GB41084	-0.489773659
GB41026	-0.360396405
GB41025	-0.073144599
GB41085	-0.428873295
GB41024	-0.814895599
GB43011	0.634956886
GB43010	-0.526758195
GB43012	-0.162095083
GB43013	-0.154554306
GB43009	-0.183219331
GB43014	0.512060284
GB43007	0.497872727
GB43006	2.508982371
GB43005	1.846622985
GB43015	-0.042841935
GB43016	0.590843466
GB43004	0.270577661
GB43017	-0.197589405
GB43003	0.552852027
GB43018	-0.167289222
GB43019	-0.456091955
GB43020	-0.205195527
GB48976	0.820829052
GB48975	-0.401863289
GB48978	-0.297423085
GB48974	0.172904534
GB48979	1.061563864
GB48980	1.269138283
GB48981	0.719586946
GB48982	0.822369203
GB48973	0.216631349
GB48983	-0.656182653
GB48972	0.153343544
GB48970	-0.916071037
GB48984	-0.596961476
GB48985	-0.127789352
GB48986	2.942315344
GB48987	0.333420543
GB48988	0.349349156
GB48989	-0.567687645
GB48990	0.02892354
GB48991	-0.817689415
GB48969	2.43155767
GB48992	-0.640069378
GB48967	0.236459724
GB48993	0.335821223
GB48994	-0.466394796
GB48966	0.066570867
GB48996	-0.459795186
GB48965	0.26440606
GB48997	-0.614553962
GB48998	-0.498604479
GB48999	0.716001929
GB49000	0.167816559
GB48963	-0.16264721
GB49001	-0.058398828
GB49002	0.086698962
GB49003	0.532403751
GB49004	0.316291172
GB48962	0.543790183
GB48961	0.04758862
GB48960	1.355828613
GB48958	0.770395248
GB51836	-0.429439828
GB51838	-1.078137032
GB51839	0.153815776
GB51840	2.827700475
GB51841	6.464782286
GB51842	1.184654148
GB51843	0.939225796
GB51844	2.038564338
GB51835	3.196800551
GB51845	0.227127216
GB51834	2.048778878
GB51833	0.579864354
GB51846	0.595307737
GB51847	0.427409993
GB51832	0.187598581
GB51849	0.031145507
GB51850	0.254774993
GB51851	0.160017434
GB51831	-0.325148247
GB51852	-0.383631444
GB51854	-0.316408976
GB51830	-0.12097993
GB51855	-0.227030903
GB51828	-0.205967996
GB51827	-0.261311186
GB51826	-0.46960678
GB51825	-0.399132984
GB51857	-0.60760542
GB51822	0.117220439
GB51821	0.846850355
GB51820	0.657603756
GB51819	0.833375268
GB51818	0.670567208
GB51817	2.47555039
GB51816	-0.485200271
GB51815	1.06704868
GB51814	1.722609654
GB51813	2.224524552
GB51812	2.531070321
GB51811	0.640458311
GB51810	-0.406486588
GB51863	0.441723367
GB51809	-0.120283051
GB51807	-0.435096471
GB51806	-0.043738797
GB51805	0.255364041
GB51865	0.027835746
GB51803	-0.212209604
GB51866	0.0922758
GB51867	-0.017792054
GB51802	0.483504929
GB40789	0.682664424
GB40791	-0.614817336
GB40792	0.09575055
GB40793	-0.229946981
GB40788	0.238605401
GB40787	0.450464794
GB40785	0.446360959
GB40794	-0.167603624
GB40784	0.199693928
GB40783	-0.154202318
GB40796	-0.642617003
GB40797	-0.591534443
GB40782	-0.064472493
GB40798	-0.366840107
GB40799	0.153744136
GB40781	-0.275676823
GB40800	-0.303192231
GB40780	-0.177003887
